 View Zero , View One , View Two , View Three , View Four 
" $122,000.00 "," $477,500.00 "," $319,000.00 "," $439,000.00 "," $775,000.00 "
" $122,000.00 "," $480,000.00 "," $319,900.00 "," $439,000.00 "," $780,000.00 "
" $123,300.00 "," $485,000.00 "," $319,950.00 "," $440,000.00 "," $790,000.00 "
" $124,000.00 "," $491,300.00 "," $320,000.00 "," $445,000.00 "," $795,000.00 "
" $124,000.00 "," $498,000.00 "," $320,000.00 "," $450,000.00 "," $799,000.00 "
" $124,740.00 "," $499,000.00 "," $323,000.00 "," $452,100.00 "," $800,000.00 "
" $125,000.00 "," $500,000.00 "," $325,000.00 "," $453,000.00 "," $800,000.00 "
" $125,000.00 "," $502,000.00 "," $325,000.00 "," $460,000.00 "," $800,000.00 "
" $125,000.00 "," $510,000.00 "," $327,000.00 "," $460,000.00 "," $802,000.00 "
" $125,000.00 "," $515,000.00 "," $329,950.00 "," $460,000.00 "," $810,000.00 "
" $128,000.00 "," $518,000.00 "," $330,000.00 "," $465,000.00 "," $815,000.00 "
" $128,000.00 "," $519,000.00 "," $331,950.00 "," $472,000.00 "," $820,000.00 "
" $128,750.00 "," $525,000.00 "," $332,000.00 "," $473,000.00 "," $822,500.00 "
" $129,000.00 "," $525,000.00 "," $334,000.00 "," $474,000.00 "," $825,000.00 "
" $129,000.00 "," $530,000.00 "," $335,000.00 "," $475,000.00 "," $825,000.00 "
" $129,000.00 "," $532,500.00 "," $336,000.00 "," $480,000.00 "," $833,450.00 "
" $130,000.00 "," $535,000.00 "," $339,000.00 "," $480,000.00 "," $840,000.00 "
" $130,000.00 "," $536,000.00 "," $339,000.00 "," $491,000.00 "," $840,500.00 "
" $130,000.00 "," $539,950.00 "," $339,900.00 "," $495,000.00 "," $850,000.00 "
" $130,000.00 "," $544,000.00 "," $340,000.00 "," $495,000.00 "," $850,000.00 "
" $130,000.00 "," $550,000.00 "," $343,500.00 "," $500,000.00 "," $851,000.00 "
" $130,000.00 "," $555,565.00 "," $349,170.00 "," $500,000.00 "," $853,505.00 "
" $130,000.00 "," $559,000.00 "," $350,000.00 "," $501,000.00 "," $860,000.00 "
" $130,000.00 "," $560,000.00 "," $350,000.00 "," $509,950.00 "," $869,000.00 "
" $132,500.00 "," $560,000.00 "," $350,000.00 "," $510,000.00 "," $879,950.00 "
" $132,500.00 "," $560,000.00 "," $350,000.00 "," $517,500.00 "," $900,000.00 "
" $132,825.00 "," $564,000.00 "," $352,000.00 "," $518,000.00 "," $905,000.00 "
" $133,400.00 "," $565,000.00 "," $352,500.00 "," $519,000.00 "," $910,000.00 "
" $134,000.00 "," $565,000.00 "," $352,500.00 "," $520,000.00 "," $910,000.00 "
" $134,000.00 "," $569,000.00 "," $354,000.00 "," $521,000.00 "," $915,000.00 "
" $135,000.00 "," $570,000.00 "," $355,000.00 "," $525,000.00 "," $919,000.00 "
" $135,000.00 "," $571,000.00 "," $356,200.00 "," $525,000.00 "," $921,000.00 "
" $135,000.00 "," $579,000.00 "," $360,000.00 "," $525,000.00 "," $922,000.00 "
" $135,000.00 "," $580,000.00 "," $361,000.00 "," $535,000.00 "," $925,000.00 "
" $135,000.00 "," $582,000.00 "," $364,500.00 "," $535,000.00 "," $937,500.00 "
" $135,000.00 "," $583,000.00 "," $364,900.00 "," $535,000.00 "," $939,000.00 "
" $135,000.00 "," $585,000.00 "," $367,000.00 "," $536,000.00 "," $941,500.00 "
" $135,000.00 "," $587,450.00 "," $367,000.00 "," $537,000.00 "," $945,000.00 "
" $135,900.00 "," $589,500.00 "," $370,000.00 "," $538,250.00 "," $950,000.00 "
" $136,500.00 "," $593,000.00 "," $370,000.00 "," $545,000.00 "," $950,000.00 "
" $137,000.00 "," $600,000.00 "," $370,350.00 "," $545,000.00 "," $951,000.00 "
" $137,124.00 "," $600,000.00 "," $375,000.00 "," $545,000.00 "," $960,000.00 "
" $137,900.00 "," $600,000.00 "," $375,000.00 "," $545,400.00 "," $968,000.00 "
" $139,000.00 "," $600,000.00 "," $375,000.00 "," $549,950.00 "," $969,000.00 "
" $139,000.00 "," $600,000.00 "," $376,000.00 "," $550,000.00 "," $975,000.00 "
" $139,500.00 "," $605,000.00 "," $379,000.00 "," $550,000.00 "," $975,000.00 "
" $140,000.00 "," $608,095.00 "," $379,750.00 "," $550,000.00 "," $985,000.00 "
" $140,000.00 "," $613,000.00 "," $380,000.00 "," $550,000.00 "," $988,500.00 "
" $140,000.00 "," $616,000.00 "," $380,000.00 "," $550,000.00 "," $995,000.00 "
" $140,000.00 "," $620,000.00 "," $382,000.00 "," $550,000.00 "," $999,000.00 "
" $140,000.00 "," $625,000.00 "," $383,000.00 "," $550,000.00 "," $1,000,000.00 "
" $140,000.00 "," $635,000.00 "," $385,000.00 "," $550,000.00 "," $1,000,000.00 "
" $140,000.00 "," $645,000.00 "," $385,000.00 "," $550,000.00 "," $1,000,000.00 "
" $140,000.00 "," $645,000.00 "," $386,000.00 "," $550,000.00 "," $1,010,000.00 "
" $142,000.00 "," $647,500.00 "," $390,000.00 "," $552,000.00 "," $1,030,000.00 "
" $142,500.00 "," $648,000.00 "," $395,000.00 "," $560,000.00 "," $1,058,800.00 "
" $142,500.00 "," $648,360.00 "," $395,000.00 "," $560,000.00 "," $1,072,500.00 "
" $144,000.00 "," $650,000.00 "," $397,000.00 "," $563,500.00 "," $1,075,000.00 "
" $144,975.00 "," $650,000.00 "," $397,000.00 "," $565,000.00 "," $1,075,000.00 "
" $145,000.00 "," $650,000.00 "," $400,000.00 "," $567,000.00 "," $1,088,890.00 "
" $145,000.00 "," $650,000.00 "," $400,000.00 "," $570,000.00 "," $1,100,000.00 "
" $145,000.00 "," $650,000.00 "," $400,000.00 "," $585,000.00 "," $1,100,000.00 "
" $145,000.00 "," $659,950.00 "," $403,000.00 "," $589,950.00 "," $1,100,000.00 "
" $145,600.00 "," $660,000.00 "," $403,900.00 "," $590,000.00 "," $1,100,000.00 "
" $146,000.00 "," $665,900.00 "," $404,600.00 "," $597,000.00 "," $1,100,000.00 "
" $146,300.00 "," $670,000.00 "," $406,000.00 "," $600,000.00 "," $1,110,000.00 "
" $147,000.00 "," $670,000.00 "," $406,500.00 "," $604,700.00 "," $1,125,000.00 "
" $147,200.00 "," $675,000.00 "," $407,500.00 "," $605,000.00 "," $1,137,500.00 "
" $147,400.00 "," $675,000.00 "," $410,000.00 "," $605,000.00 "," $1,140,000.00 "
" $147,500.00 "," $675,000.00 "," $415,000.00 "," $606,000.00 "," $1,149,000.00 "
" $147,500.00 "," $678,000.00 "," $415,000.00 "," $609,000.00 "," $1,150,000.00 "
" $148,000.00 "," $685,000.00 "," $415,000.00 "," $610,000.00 "," $1,150,000.00 "
" $148,000.00 "," $685,000.00 "," $418,000.00 "," $611,206.00 "," $1,150,000.00 "
" $148,900.00 "," $688,000.00 "," $419,000.00 "," $612,000.00 "," $1,155,000.00 "
" $149,000.00 "," $688,888.00 "," $419,500.00 "," $612,000.00 "," $1,160,000.00 "
" $149,000.00 "," $693,000.00 "," $420,000.00 "," $615,000.00 "," $1,160,000.00 "
" $149,500.00 "," $695,000.00 "," $420,000.00 "," $615,000.00 "," $1,169,000.00 "
" $149,900.00 "," $695,500.00 "," $422,000.00 "," $620,000.00 "," $1,175,000.00 "
" $150,000.00 "," $699,000.00 "," $424,305.00 "," $620,000.00 "," $1,175,000.00 "
" $150,000.00 "," $699,950.00 "," $425,000.00 "," $625,000.00 "," $1,185,000.00 "
" $150,000.00 "," $699,950.00 "," $425,000.00 "," $625,000.00 "," $1,187,500.00 "
" $150,000.00 "," $699,950.00 "," $427,800.00 "," $625,000.00 "," $1,190,000.00 "
" $150,000.00 "," $700,000.00 "," $428,000.00 "," $630,000.00 "," $1,200,000.00 "
" $150,000.00 "," $700,000.00 "," $430,000.00 "," $633,000.00 "," $1,200,000.00 "
" $150,000.00 "," $705,000.00 "," $430,000.00 "," $640,000.00 "," $1,200,000.00 "
" $150,000.00 "," $710,000.00 "," $431,000.00 "," $640,000.00 "," $1,225,000.00 "
" $150,000.00 "," $710,000.00 "," $435,000.00 "," $641,500.00 "," $1,228,000.00 "
" $150,000.00 "," $710,000.00 "," $435,000.00 "," $645,000.00 "," $1,234,580.00 "
" $150,000.00 "," $715,500.00 "," $435,000.00 "," $645,000.00 "," $1,240,000.00 "
" $150,000.00 "," $719,000.00 "," $436,000.00 "," $649,000.00 "," $1,247,000.00 "
" $150,000.00 "," $719,000.00 "," $436,000.00 "," $650,000.00 "," $1,250,000.00 "
" $150,000.00 "," $721,000.00 "," $437,500.00 "," $650,000.00 "," $1,250,000.00 "
" $150,000.00 "," $724,000.00 "," $437,500.00 "," $650,000.00 "," $1,250,000.00 "
" $150,000.00 "," $725,000.00 "," $439,000.00 "," $655,000.00 "," $1,250,000.00 "
" $150,000.00 "," $729,500.00 "," $439,000.00 "," $657,500.00 "," $1,260,000.00 "
" $150,000.00 "," $735,000.00 "," $439,000.00 "," $663,000.00 "," $1,275,000.00 "
" $150,000.00 "," $735,000.00 "," $439,900.00 "," $667,000.00 "," $1,280,000.00 "
" $150,000.00 "," $750,000.00 "," $440,000.00 "," $670,000.00 "," $1,295,000.00 "
" $150,000.00 "," $750,000.00 "," $440,000.00 "," $675,000.00 "," $1,300,000.00 "
" $150,550.00 "," $750,000.00 "," $440,000.00 "," $675,000.00 "," $1,309,500.00 "
" $151,000.00 "," $750,000.00 "," $440,000.00 "," $676,500.00 "," $1,310,000.00 "
" $151,000.00 "," $755,000.00 "," $440,000.00 "," $679,000.00 "," $1,335,000.00 "
" $151,100.00 "," $765,000.00 "," $442,000.00 "," $685,000.00 "," $1,339,000.00 "
" $151,600.00 "," $775,000.00 "," $445,000.00 "," $688,000.00 "," $1,345,000.00 "
" $152,000.00 "," $779,000.00 "," $445,000.00 "," $688,500.00 "," $1,350,000.00 "
" $152,000.00 "," $779,000.00 "," $447,000.00 "," $689,000.00 "," $1,360,000.00 "
" $152,000.00 "," $784,000.00 "," $449,500.00 "," $690,000.00 "," $1,370,000.00 "
" $152,000.00 "," $788,000.00 "," $449,999.00 "," $690,000.00 "," $1,379,900.00 "
" $152,275.00 "," $794,154.00 "," $450,000.00 "," $695,000.00 "," $1,385,000.00 "
" $152,500.00 "," $795,000.00 "," $450,000.00 "," $695,000.00 "," $1,400,000.00 "
" $152,500.00 "," $800,000.00 "," $450,000.00 "," $700,000.00 "," $1,400,000.00 "
" $152,900.00 "," $800,000.00 "," $450,000.00 "," $700,000.00 "," $1,400,000.00 "
" $153,000.00 "," $800,000.00 "," $451,000.00 "," $700,000.00 "," $1,400,000.00 "
" $153,000.00 "," $802,500.00 "," $452,000.00 "," $700,000.00 "," $1,410,000.00 "
" $153,000.00 "," $805,000.00 "," $452,000.00 "," $705,000.00 "," $1,411,600.00 "
" $153,000.00 "," $805,000.00 "," $452,000.00 "," $705,000.00 "," $1,430,000.00 "
" $153,500.00 "," $805,000.00 "," $453,500.00 "," $705,000.00 "," $1,500,000.00 "
" $153,503.00 "," $815,000.00 "," $455,000.00 "," $713,414.00 "," $1,505,000.00 "
" $154,000.00 "," $815,000.00 "," $455,000.00 "," $715,000.00 "," $1,517,000.00 "
" $154,200.00 "," $815,000.00 "," $455,000.00 "," $715,000.00 "," $1,570,000.00 "
" $154,500.00 "," $818,500.00 "," $457,000.00 "," $720,000.00 "," $1,575,000.00 "
" $154,950.00 "," $820,000.00 "," $459,950.00 "," $720,000.00 "," $1,580,000.00 "
" $155,000.00 "," $824,000.00 "," $460,000.00 "," $720,000.00 "," $1,600,000.00 "
" $155,000.00 "," $825,000.00 "," $463,000.00 "," $725,000.00 "," $1,600,000.00 "
" $155,000.00 "," $828,950.00 "," $463,828.00 "," $725,000.00 "," $1,600,000.00 "
" $155,000.00 "," $839,900.00 "," $465,000.00 "," $725,000.00 "," $1,612,500.00 "
" $155,000.00 "," $846,000.00 "," $465,000.00 "," $727,500.00 "," $1,620,000.00 "
" $155,000.00 "," $849,000.00 "," $465,000.00 "," $730,000.00 "," $1,625,000.00 "
" $155,000.00 "," $850,000.00 "," $466,000.00 "," $730,000.00 "," $1,637,500.00 "
" $156,000.00 "," $850,000.00 "," $472,000.00 "," $740,000.00 "," $1,650,000.00 "
" $156,000.00 "," $850,000.00 "," $475,000.00 "," $750,000.00 "," $1,650,000.00 "
" $156,000.00 "," $860,000.00 "," $475,000.00 "," $750,000.00 "," $1,662,000.00 "
" $156,000.00 "," $865,000.00 "," $475,000.00 "," $750,000.00 "," $1,665,000.00 "
" $157,000.00 "," $870,000.00 "," $475,000.00 "," $759,000.00 "," $1,680,000.00 "
" $157,000.00 "," $870,000.00 "," $478,500.00 "," $760,000.00 "," $1,698,890.00 "
" $157,000.00 "," $875,000.00 "," $480,000.00 "," $765,000.00 "," $1,700,000.00 "
" $157,340.00 "," $895,000.00 "," $480,000.00 "," $765,000.00 "," $1,700,000.00 "
" $157,500.00 "," $899,950.00 "," $480,000.00 "," $767,500.00 "," $1,700,000.00 "
" $157,500.00 "," $905,000.00 "," $480,000.00 "," $775,000.00 "," $1,705,000.00 "
" $158,000.00 "," $907,000.00 "," $480,000.00 "," $775,000.00 "," $1,740,000.00 "
" $158,000.00 "," $920,000.00 "," $480,000.00 "," $775,000.00 "," $1,800,000.00 "
" $158,000.00 "," $925,000.00 "," $484,950.00 "," $781,000.00 "," $1,850,000.00 "
" $158,000.00 "," $940,000.00 "," $485,000.00 "," $787,500.00 "," $1,850,000.00 "
" $158,550.00 "," $950,000.00 "," $485,000.00 "," $790,000.00 "," $1,851,000.00 "
" $158,800.00 "," $950,000.00 "," $485,000.00 "," $790,000.00 "," $1,899,000.00 "
" $159,000.00 "," $951,000.00 "," $485,000.00 "," $790,000.00 "," $1,900,000.00 "
" $159,000.00 "," $979,000.00 "," $485,000.00 "," $795,000.00 "," $1,940,000.00 "
" $159,100.00 "," $981,000.00 "," $489,000.00 "," $799,000.00 "," $1,950,000.00 "
" $159,995.00 "," $985,000.00 "," $490,000.00 "," $799,900.00 "," $1,950,000.00 "
" $160,000.00 "," $1,000,000.00 "," $490,000.00 "," $799,950.00 "," $1,955,000.00 "
" $160,000.00 "," $1,000,000.00 "," $490,000.00 "," $800,000.00 "," $1,955,000.00 "
" $160,000.00 "," $1,011,000.00 "," $490,000.00 "," $800,000.00 "," $1,989,000.00 "
" $160,000.00 "," $1,027,000.00 "," $492,000.00 "," $805,000.00 "," $2,000,000.00 "
" $160,000.00 "," $1,029,280.00 "," $495,000.00 "," $805,000.00 "," $2,000,000.00 "
" $160,000.00 "," $1,042,500.00 "," $495,000.00 "," $810,000.00 "," $2,000,000.00 "
" $160,000.00 "," $1,050,000.00 "," $495,000.00 "," $810,000.00 "," $2,000,000.00 "
" $160,000.00 "," $1,060,000.00 "," $495,000.00 "," $810,000.00 "," $2,005,000.00 "
" $160,000.00 "," $1,060,000.00 "," $496,000.00 "," $812,000.00 "," $2,050,000.00 "
" $160,000.00 "," $1,075,000.00 "," $497,300.00 "," $813,000.00 "," $2,125,000.00 "
" $160,000.00 "," $1,080,000.00 "," $500,000.00 "," $817,500.00 "," $2,125,000.00 "
" $160,000.00 "," $1,100,000.00 "," $500,000.00 "," $825,000.00 "," $2,135,000.00 "
" $160,000.00 "," $1,100,000.00 "," $500,000.00 "," $830,000.00 "," $2,147,500.00 "
" $160,000.00 "," $1,100,000.00 "," $500,000.00 "," $830,000.00 "," $2,150,000.00 "
" $160,000.00 "," $1,118,000.00 "," $500,000.00 "," $830,000.00 "," $2,195,000.00 "
" $160,000.00 "," $1,130,000.00 "," $503,000.00 "," $833,000.00 "," $2,225,000.00 "
" $160,000.00 "," $1,130,000.00 "," $503,000.00 "," $834,500.00 "," $2,230,000.00 "
" $160,000.00 "," $1,140,000.00 "," $504,500.00 "," $840,000.00 "," $2,230,000.00 "
" $160,000.00 "," $1,150,000.00 "," $505,000.00 "," $850,000.00 "," $2,280,000.00 "
" $160,000.00 "," $1,175,000.00 "," $505,000.00 "," $850,000.00 "," $2,300,000.00 "
" $160,000.00 "," $1,184,000.00 "," $507,250.00 "," $850,000.00 "," $2,300,000.00 "
" $160,000.00 "," $1,185,000.00 "," $510,000.00 "," $865,000.00 "," $2,300,000.00 "
" $160,134.00 "," $1,199,000.00 "," $510,000.00 "," $870,000.00 "," $2,384,000.00 "
" $160,797.00 "," $1,230,000.00 "," $512,031.00 "," $871,000.00 "," $2,400,000.00 "
" $161,500.00 "," $1,250,000.00 "," $515,000.00 "," $881,000.00 "," $2,400,000.00 "
" $161,700.00 "," $1,260,000.00 "," $515,000.00 "," $887,500.00 "," $2,480,000.00 "
" $162,000.00 "," $1,275,000.00 "," $525,000.00 "," $895,000.00 "," $2,500,000.00 "
" $162,500.00 "," $1,275,000.00 "," $525,000.00 "," $895,900.00 "," $2,510,000.00 "
" $162,500.00 "," $1,295,000.00 "," $525,126.00 "," $896,000.00 "," $2,535,000.00 "
" $163,000.00 "," $1,340,000.00 "," $527,200.00 "," $900,000.00 "," $2,574,000.00 "
" $163,000.00 "," $1,350,000.00 "," $527,900.00 "," $901,000.00 "," $2,600,000.00 "
" $163,250.00 "," $1,360,000.00 "," $530,000.00 "," $906,000.00 "," $2,600,000.00 "
" $163,500.00 "," $1,385,000.00 "," $530,000.00 "," $915,000.00 "," $2,700,000.00 "
" $163,500.00 "," $1,385,000.00 "," $530,000.00 "," $915,000.00 "," $2,700,000.00 "
" $163,800.00 "," $1,395,000.00 "," $530,000.00 "," $920,000.00 "," $2,750,000.00 "
" $164,000.00 "," $1,444,000.00 "," $535,000.00 "," $925,500.00 "," $2,880,500.00 "
" $164,950.00 "," $1,450,000.00 "," $536,500.00 "," $930,000.00 "," $2,888,000.00 "
" $165,000.00 "," $1,582,500.00 "," $537,000.00 "," $937,500.00 "," $2,903,000.00 "
" $165,000.00 "," $1,605,000.00 "," $540,000.00 "," $940,000.00 "," $2,945,000.00 "
" $165,000.00 "," $1,650,000.00 "," $540,000.00 "," $942,000.00 "," $3,000,000.00 "
" $165,000.00 "," $1,650,000.00 "," $540,000.00 "," $949,000.00 "," $3,000,000.00 "
" $165,000.00 "," $1,727,000.00 "," $540,000.00 "," $950,000.00 "," $3,065,000.00 "
" $165,000.00 "," $1,750,000.00 "," $541,500.00 "," $950,000.00 "," $3,070,000.00 "
" $165,000.00 "," $1,795,000.00 "," $542,000.00 "," $950,000.00 "," $3,075,000.00 "
" $165,000.00 "," $1,810,000.00 "," $543,000.00 "," $960,000.00 "," $3,100,000.00 "
" $165,000.00 "," $1,880,000.00 "," $543,200.00 "," $960,000.00 "," $3,100,000.00 "
" $165,000.00 "," $1,950,000.00 "," $545,000.00 "," $970,000.00 "," $3,120,000.00 "
" $165,000.00 "," $1,959,000.00 "," $545,000.00 "," $970,000.00 "," $3,168,750.00 "
" $165,000.00 "," $1,965,220.00 "," $545,000.00 "," $970,000.00 "," $3,200,000.00 "
" $165,000.00 "," $2,250,000.00 "," $545,000.00 "," $976,000.00 "," $3,200,000.00 "
" $165,050.00 "," $2,351,960.00 "," $549,000.00 "," $980,000.00 "," $3,278,000.00 "
" $166,000.00 "," $2,400,000.00 "," $549,950.00 "," $990,000.00 "," $3,395,000.00 "
" $166,000.00 "," $2,575,000.00 "," $550,000.00 "," $995,000.00 "," $3,567,000.00 "
" $166,000.00 "," $2,750,000.00 "," $550,000.00 "," $998,160.00 "," $3,600,000.00 "
" $167,000.00 "," $2,900,000.00 "," $550,000.00 "," $1,020,000.00 "," $3,640,900.00 "
" $167,000.00 "," $2,950,000.00 "," $550,388.00 "," $1,025,000.00 "," $3,650,000.00 "
" $167,500.00 "," $3,345,000.00 "," $550,500.00 "," $1,030,000.00 "," $3,800,000.00 "
" $168,000.00 "," $3,650,000.00 "," $554,000.00 "," $1,031,000.00 "," $3,850,000.00 "
" $168,000.00 ",," $554,820.00 "," $1,042,000.00 "," $4,500,000.00 "
" $168,000.00 ",," $555,000.00 "," $1,050,000.00 "," $4,668,000.00 "
" $168,000.00 ",," $555,000.00 "," $1,050,000.00 "," $5,110,800.00 "
" $168,500.00 ",," $555,000.00 "," $1,050,000.00 "," $5,300,000.00 "
" $168,500.00 ",," $557,500.00 "," $1,050,000.00 "," $5,350,000.00 "
" $169,000.00 ",," $557,500.00 "," $1,050,000.00 "," $6,885,000.00 "
" $169,000.00 ",," $557,510.00 "," $1,050,000.00 ",
" $169,000.00 ",," $560,000.00 "," $1,050,000.00 ",
" $169,000.00 ",," $560,000.00 "," $1,051,000.00 ",
" $169,100.00 ",," $560,000.00 "," $1,070,000.00 ",
" $169,500.00 ",," $560,000.00 "," $1,072,000.00 ",
" $169,500.00 ",," $561,750.00 "," $1,075,000.00 ",
" $169,575.00 ",," $562,000.00 "," $1,085,000.00 ",
" $169,900.00 ",," $562,000.00 "," $1,085,500.00 ",
" $169,950.00 ",," $564,000.00 "," $1,100,000.00 ",
" $169,950.00 ",," $565,000.00 "," $1,101,000.00 ",
" $170,000.00 ",," $565,000.00 "," $1,115,000.00 ",
" $170,000.00 ",," $565,000.00 "," $1,120,000.00 ",
" $170,000.00 ",," $565,000.00 "," $1,120,000.00 ",
" $170,000.00 ",," $567,000.00 "," $1,126,000.00 ",
" $170,000.00 ",," $567,500.00 "," $1,131,000.00 ",
" $170,000.00 ",," $568,000.00 "," $1,135,000.00 ",
" $170,000.00 ",," $569,950.00 "," $1,150,000.00 ",
" $170,000.00 ",," $570,000.00 "," $1,161,000.00 ",
" $170,000.00 ",," $570,000.00 "," $1,165,000.00 ",
" $170,000.00 ",," $570,000.00 "," $1,170,000.00 ",
" $170,000.00 ",," $570,000.00 "," $1,200,000.00 ",
" $170,000.00 ",," $571,000.00 "," $1,200,000.00 ",
" $170,000.00 ",," $573,300.00 "," $1,205,000.00 ",
" $170,000.00 ",," $574,000.00 "," $1,210,000.00 ",
" $170,500.00 ",," $575,000.00 "," $1,212,500.00 ",
" $170,500.00 ",," $575,000.00 "," $1,216,000.00 ",
" $171,800.00 ",," $575,000.00 "," $1,220,000.00 ",
" $172,000.00 ",," $575,000.00 "," $1,225,000.00 ",
" $172,000.00 ",," $575,000.00 "," $1,225,000.00 ",
" $172,040.00 ",," $575,000.00 "," $1,230,000.00 ",
" $172,380.00 ",," $578,000.00 "," $1,240,000.00 ",
" $172,500.00 ",," $580,000.00 "," $1,240,000.00 ",
" $172,500.00 ",," $580,000.00 "," $1,240,420.00 ",
" $173,000.00 ",," $580,000.00 "," $1,249,000.00 ",
" $173,000.00 ",," $580,000.00 "," $1,250,000.00 ",
