price,,,,,,,,,,,,,,,,,,,,,,,,zips_by_price
235867,,,,,,,,,,,,,,,,,,,,,,,,25
716000,,,,,,,,,,,,,,,,,,,,,,,,64
683000,,,,,,,,,,,,,,,,,,,,,,,,53
345000,,,,,,,,,,,,,,,,,,,,,,,,58
270000,,,,,,,,,,,,,,,,,,,,,,,,24
239000,,,,,,,,,,,,,,,,,,,,,,,,6
385195,,,,,,,,,,,,,,,,,,,,,,,,51
273000,,,,,,,,,,,,,,,,,,,,,,,,18
476900,,,,,,,,,,,,,,,,,,,,,,,,48
551000,,,,,,,,,,,,,,,,,,,,,,,,43
448000,,,,,,,,,,,,,,,,,,,,,,,,47
411100,,,,,,,,,,,,,,,,,,,,,,,,61
223000,,,,,,,,,,,,,,,,,,,,,,,,18
335500,,,,,,,,,,,,,,,,,,,,,,,,18
730000,,,,,,,,,,,,,,,,,,,,,,,,55
197200,,,,,,,,,,,,,,,,,,,,,,,,20
725000,,,,,,,,,,,,,,,,,,,,,,,,63
342500,,,,,,,,,,,,,,,,,,,,,,,,13
340000,,,,,,,,,,,,,,,,,,,,,,,,24
418000,,,,,,,,,,,,,,,,,,,,,,,,43
410000,,,,,,,,,,,,,,,,,,,,,,,,51
240000,,,,,,,,,,,,,,,,,,,,,,,,7
800000,,,,,,,,,,,,,,,,,,,,,,,,30
275000,,,,,,,,,,,,,,,,,,,,,,,,23
617950,,,,,,,,,,,,,,,,,,,,,,,,37
396000,,,,,,,,,,,,,,,,,,,,,,,,31
309000,,,,,,,,,,,,,,,,,,,,,,,,14
1275000,,,,,,,,,,,,,,,,,,,,,,,,58
572500,,,,,,,,,,,,,,,,,,,,,,,,25
518500,,,,,,,,,,,,,,,,,,,,,,,,32
710000,,,,,,,,,,,,,,,,,,,,,,,,57
600000,,,,,,,,,,,,,,,,,,,,,,,,18
467000,,,,,,,,,,,,,,,,,,,,,,,,34
309000,,,,,,,,,,,,,,,,,,,,,,,,18
362500,,,,,,,,,,,,,,,,,,,,,,,,27
390000,,,,,,,,,,,,,,,,,,,,,,,,18
208417,,,,,,,,,,,,,,,,,,,,,,,,19
340000,,,,,,,,,,,,,,,,,,,,,,,,13
467500,,,,,,,,,,,,,,,,,,,,,,,,32
829000,,,,,,,,,,,,,,,,,,,,,,,,59
959750,,,,,,,,,,,,,,,,,,,,,,,,52
542000,,,,,,,,,,,,,,,,,,,,,,,,45
2250000,,,,,,,,,,,,,,,,,,,,,,,,67
575000,,,,,,,,,,,,,,,,,,,,,,,,54
690000,,,,,,,,,,,,,,,,,,,,,,,,37
699950,,,,,,,,,,,,,,,,,,,,,,,,39
408500,,,,,,,,,,,,,,,,,,,,,,,,17
595000,,,,,,,,,,,,,,,,,,,,,,,,46
313000,,,,,,,,,,,,,,,,,,,,,,,,22
781000,,,,,,,,,,,,,,,,,,,,,,,,53
371000,,,,,,,,,,,,,,,,,,,,,,,,37
268000,,,,,,,,,,,,,,,,,,,,,,,,10
331000,,,,,,,,,,,,,,,,,,,,,,,,46
321000,,,,,,,,,,,,,,,,,,,,,,,,32
375000,,,,,,,,,,,,,,,,,,,,,,,,32
298000,,,,,,,,,,,,,,,,,,,,,,,,12
209500,,,,,,,,,,,,,,,,,,,,,,,,16
440000,,,,,,,,,,,,,,,,,,,,,,,,27
350000,,,,,,,,,,,,,,,,,,,,,,,,14
618000,,,,,,,,,,,,,,,,,,,,,,,,50
320000,,,,,,,,,,,,,,,,,,,,,,,,24
234950,,,,,,,,,,,,,,,,,,,,,,,,14
665000,,,,,,,,,,,,,,,,,,,,,,,,60
500000,,,,,,,,,,,,,,,,,,,,,,,,22
575000,,,,,,,,,,,,,,,,,,,,,,,,26
320000,,,,,,,,,,,,,,,,,,,,,,,,29
464000,,,,,,,,,,,,,,,,,,,,,,,,22
280000,,,,,,,,,,,,,,,,,,,,,,,,8
350000,,,,,,,,,,,,,,,,,,,,,,,,52
249000,,,,,,,,,,,,,,,,,,,,,,,,37
531000,,,,,,,,,,,,,,,,,,,,,,,,43
472800,,,,,,,,,,,,,,,,,,,,,,,,62
710000,,,,,,,,,,,,,,,,,,,,,,,,58
580000,,,,,,,,,,,,,,,,,,,,,,,,60
330000,,,,,,,,,,,,,,,,,,,,,,,,7
174950,,,,,,,,,,,,,,,,,,,,,,,,11
565000,,,,,,,,,,,,,,,,,,,,,,,,27
534000,,,,,,,,,,,,,,,,,,,,,,,,50
503500,,,,,,,,,,,,,,,,,,,,,,,,58
235000,,,,,,,,,,,,,,,,,,,,,,,,17
558000,,,,,,,,,,,,,,,,,,,,,,,,23
966000,,,,,,,,,,,,,,,,,,,,,,,,57
1297000,,,,,,,,,,,,,,,,,,,,,,,,43
310000,,,,,,,,,,,,,,,,,,,,,,,,16
535000,,,,,,,,,,,,,,,,,,,,,,,,41
432000,,,,,,,,,,,,,,,,,,,,,,,,27
1750000,,,,,,,,,,,,,,,,,,,,,,,,62
675000,,,,,,,,,,,,,,,,,,,,,,,,42
337000,,,,,,,,,,,,,,,,,,,,,,,,28
410000,,,,,,,,,,,,,,,,,,,,,,,,48
320000,,,,,,,,,,,,,,,,,,,,,,,,10
585000,,,,,,,,,,,,,,,,,,,,,,,,53
835000,,,,,,,,,,,,,,,,,,,,,,,,37
863000,,,,,,,,,,,,,,,,,,,,,,,,57
320000,,,,,,,,,,,,,,,,,,,,,,,,23
613000,,,,,,,,,,,,,,,,,,,,,,,,46
180000,,,,,,,,,,,,,,,,,,,,,,,,20
560000,,,,,,,,,,,,,,,,,,,,,,,,53
530000,,,,,,,,,,,,,,,,,,,,,,,,6
347000,,,,,,,,,,,,,,,,,,,,,,,,25
260000,,,,,,,,,,,,,,,,,,,,,,,,5
585000,,,,,,,,,,,,,,,,,,,,,,,,37
440000,,,,,,,,,,,,,,,,,,,,,,,,38
305000,,,,,,,,,,,,,,,,,,,,,,,,13
650500,,,,,,,,,,,,,,,,,,,,,,,,50
590000,,,,,,,,,,,,,,,,,,,,,,,,64
245000,,,,,,,,,,,,,,,,,,,,,,,,13
329999,,,,,,,,,,,,,,,,,,,,,,,,13
470000,,,,,,,,,,,,,,,,,,,,,,,,38
2885000,,,,,,,,,,,,,,,,,,,,,,,,67
580000,,,,,,,,,,,,,,,,,,,,,,,,41
745000,,,,,,,,,,,,,,,,,,,,,,,,69
350000,,,,,,,,,,,,,,,,,,,,,,,,12
515000,,,,,,,,,,,,,,,,,,,,,,,,45
756100,,,,,,,,,,,,,,,,,,,,,,,,27
472500,,,,,,,,,,,,,,,,,,,,,,,,59
900000,,,,,,,,,,,,,,,,,,,,,,,,68
895000,,,,,,,,,,,,,,,,,,,,,,,,47
255000,,,,,,,,,,,,,,,,,,,,,,,,10
380000,,,,,,,,,,,,,,,,,,,,,,,,21
265000,,,,,,,,,,,,,,,,,,,,,,,,8
728000,,,,,,,,,,,,,,,,,,,,,,,,67
194000,,,,,,,,,,,,,,,,,,,,,,,,7
300000,,,,,,,,,,,,,,,,,,,,,,,,22
216650,,,,,,,,,,,,,,,,,,,,,,,,65
223990,,,,,,,,,,,,,,,,,,,,,,,,1
220000,,,,,,,,,,,,,,,,,,,,,,,,16
3600000,,,,,,,,,,,,,,,,,,,,,,,,51
310000,,,,,,,,,,,,,,,,,,,,,,,,23
360000,,,,,,,,,,,,,,,,,,,,,,,,49
635000,,,,,,,,,,,,,,,,,,,,,,,,66
599950,,,,,,,,,,,,,,,,,,,,,,,,53
220000,,,,,,,,,,,,,,,,,,,,,,,,24
372000,,,,,,,,,,,,,,,,,,,,,,,,15
332900,,,,,,,,,,,,,,,,,,,,,,,,55
380000,,,,,,,,,,,,,,,,,,,,,,,,18
471000,,,,,,,,,,,,,,,,,,,,,,,,63
1185000,,,,,,,,,,,,,,,,,,,,,,,,67
684000,,,,,,,,,,,,,,,,,,,,,,,,35
750000,,,,,,,,,,,,,,,,,,,,,,,,47
612125,,,,,,,,,,,,,,,,,,,,,,,,64
455500,,,,,,,,,,,,,,,,,,,,,,,,14
330000,,,,,,,,,,,,,,,,,,,,,,,,19
654000,,,,,,,,,,,,,,,,,,,,,,,,29
323000,,,,,,,,,,,,,,,,,,,,,,,,18
315000,,,,,,,,,,,,,,,,,,,,,,,,16
392000,,,,,,,,,,,,,,,,,,,,,,,,21
782000,,,,,,,,,,,,,,,,,,,,,,,,69
298500,,,,,,,,,,,,,,,,,,,,,,,,17
3650000,,,,,,,,,,,,,,,,,,,,,,,,63
374000,,,,,,,,,,,,,,,,,,,,,,,,9
850000,,,,,,,,,,,,,,,,,,,,,,,,64
785000,,,,,,,,,,,,,,,,,,,,,,,,57
615000,,,,,,,,,,,,,,,,,,,,,,,,53
599832,,,,,,,,,,,,,,,,,,,,,,,,38
1075000,,,,,,,,,,,,,,,,,,,,,,,,29
226000,,,,,,,,,,,,,,,,,,,,,,,,25
421500,,,,,,,,,,,,,,,,,,,,,,,,9
406550,,,,,,,,,,,,,,,,,,,,,,,,57
360000,,,,,,,,,,,,,,,,,,,,,,,,43
520000,,,,,,,,,,,,,,,,,,,,,,,,50
329950,,,,,,,,,,,,,,,,,,,,,,,,22
550000,,,,,,,,,,,,,,,,,,,,,,,,61
425000,,,,,,,,,,,,,,,,,,,,,,,,37
1610000,,,,,,,,,,,,,,,,,,,,,,,,30
185000,,,,,,,,,,,,,,,,,,,,,,,,3
345000,,,,,,,,,,,,,,,,,,,,,,,,6
585000,,,,,,,,,,,,,,,,,,,,,,,,48
325000,,,,,,,,,,,,,,,,,,,,,,,,29
220000,,,,,,,,,,,,,,,,,,,,,,,,12
716100,,,,,,,,,,,,,,,,,,,,,,,,43
313999,,,,,,,,,,,,,,,,,,,,,,,,21
450000,,,,,,,,,,,,,,,,,,,,,,,,49
380000,,,,,,,,,,,,,,,,,,,,,,,,25
572000,,,,,,,,,,,,,,,,,,,,,,,,68
343888,,,,,,,,,,,,,,,,,,,,,,,,18
474950,,,,,,,,,,,,,,,,,,,,,,,,23
410000,,,,,,,,,,,,,,,,,,,,,,,,24
295000,,,,,,,,,,,,,,,,,,,,,,,,48
635000,,,,,,,,,,,,,,,,,,,,,,,,23
275000,,,,,,,,,,,,,,,,,,,,,,,,22
185000,,,,,,,,,,,,,,,,,,,,,,,,7
239000,,,,,,,,,,,,,,,,,,,,,,,,3
840000,,,,,,,,,,,,,,,,,,,,,,,,53
644000,,,,,,,,,,,,,,,,,,,,,,,,40
515000,,,,,,,,,,,,,,,,,,,,,,,,43
276200,,,,,,,,,,,,,,,,,,,,,,,,11
400000,,,,,,,,,,,,,,,,,,,,,,,,31
769900,,,,,,,,,,,,,,,,,,,,,,,,48
585000,,,,,,,,,,,,,,,,,,,,,,,,59
570000,,,,,,,,,,,,,,,,,,,,,,,,52
490000,,,,,,,,,,,,,,,,,,,,,,,,41
587100,,,,,,,,,,,,,,,,,,,,,,,,41
329900,,,,,,,,,,,,,,,,,,,,,,,,16
725000,,,,,,,,,,,,,,,,,,,,,,,,23
445000,,,,,,,,,,,,,,,,,,,,,,,,29
380000,,,,,,,,,,,,,,,,,,,,,,,,22
255000,,,,,,,,,,,,,,,,,,,,,,,,14
355000,,,,,,,,,,,,,,,,,,,,,,,,32
285000,,,,,,,,,,,,,,,,,,,,,,,,4
1050000,,,,,,,,,,,,,,,,,,,,,,,,69
749400,,,,,,,,,,,,,,,,,,,,,,,,53
1490000,,,,,,,,,,,,,,,,,,,,,,,,68
950000,,,,,,,,,,,,,,,,,,,,,,,,45
264500,,,,,,,,,,,,,,,,,,,,,,,,17
1385000,,,,,,,,,,,,,,,,,,,,,,,,64
199950,,,,,,,,,,,,,,,,,,,,,,,,11
969950,,,,,,,,,,,,,,,,,,,,,,,,41
405000,,,,,,,,,,,,,,,,,,,,,,,,34
322500,,,,,,,,,,,,,,,,,,,,,,,,18
425000,,,,,,,,,,,,,,,,,,,,,,,,47
275000,,,,,,,,,,,,,,,,,,,,,,,,16
181000,,,,,,,,,,,,,,,,,,,,,,,,16
475000,,,,,,,,,,,,,,,,,,,,,,,,27
376950,,,,,,,,,,,,,,,,,,,,,,,,9
476000,,,,,,,,,,,,,,,,,,,,,,,,47
480000,,,,,,,,,,,,,,,,,,,,,,,,67
229000,,,,,,,,,,,,,,,,,,,,,,,,33
226950,,,,,,,,,,,,,,,,,,,,,,,,2
669888,,,,,,,,,,,,,,,,,,,,,,,,35
555750,,,,,,,,,,,,,,,,,,,,,,,,23
280000,,,,,,,,,,,,,,,,,,,,,,,,8
315000,,,,,,,,,,,,,,,,,,,,,,,,25
499950,,,,,,,,,,,,,,,,,,,,,,,,62
453000,,,,,,,,,,,,,,,,,,,,,,,,33
700000,,,,,,,,,,,,,,,,,,,,,,,,62
347500,,,,,,,,,,,,,,,,,,,,,,,,10
600000,,,,,,,,,,,,,,,,,,,,,,,,24
286000,,,,,,,,,,,,,,,,,,,,,,,,29
1212500,,,,,,,,,,,,,,,,,,,,,,,,62
580000,,,,,,,,,,,,,,,,,,,,,,,,48
630000,,,,,,,,,,,,,,,,,,,,,,,,60
730000,,,,,,,,,,,,,,,,,,,,,,,,32
1300000,,,,,,,,,,,,,,,,,,,,,,,,52
850000,,,,,,,,,,,,,,,,,,,,,,,,62
410000,,,,,,,,,,,,,,,,,,,,,,,,48
325000,,,,,,,,,,,,,,,,,,,,,,,,16
596500,,,,,,,,,,,,,,,,,,,,,,,,53
1020000,,,,,,,,,,,,,,,,,,,,,,,,64
180250,,,,,,,,,,,,,,,,,,,,,,,,33
528000,,,,,,,,,,,,,,,,,,,,,,,,27
405500,,,,,,,,,,,,,,,,,,,,,,,,39
1850000,,,,,,,,,,,,,,,,,,,,,,,,65
230000,,,,,,,,,,,,,,,,,,,,,,,,14
789000,,,,,,,,,,,,,,,,,,,,,,,,36
527950,,,,,,,,,,,,,,,,,,,,,,,,43
688000,,,,,,,,,,,,,,,,,,,,,,,,57
1057000,,,,,,,,,,,,,,,,,,,,,,,,29
999999,,,,,,,,,,,,,,,,,,,,,,,,69
355000,,,,,,,,,,,,,,,,,,,,,,,,25
1197350,,,,,,,,,,,,,,,,,,,,,,,,60
254600,,,,,,,,,,,,,,,,,,,,,,,,1
630000,,,,,,,,,,,,,,,,,,,,,,,,51
670000,,,,,,,,,,,,,,,,,,,,,,,,49
319950,,,,,,,,,,,,,,,,,,,,,,,,23
550000,,,,,,,,,,,,,,,,,,,,,,,,47
250000,,,,,,,,,,,,,,,,,,,,,,,,27
1135000,,,,,,,,,,,,,,,,,,,,,,,,55
324950,,,,,,,,,,,,,,,,,,,,,,,,24
477000,,,,,,,,,,,,,,,,,,,,,,,,41
531500,,,,,,,,,,,,,,,,,,,,,,,,26
610000,,,,,,,,,,,,,,,,,,,,,,,,34
443000,,,,,,,,,,,,,,,,,,,,,,,,52
385000,,,,,,,,,,,,,,,,,,,,,,,,51
320000,,,,,,,,,,,,,,,,,,,,,,,,24
237000,,,,,,,,,,,,,,,,,,,,,,,,10
865000,,,,,,,,,,,,,,,,,,,,,,,,68
239900,,,,,,,,,,,,,,,,,,,,,,,,9
555000,,,,,,,,,,,,,,,,,,,,,,,,50
435000,,,,,,,,,,,,,,,,,,,,,,,,28
582000,,,,,,,,,,,,,,,,,,,,,,,,39
450000,,,,,,,,,,,,,,,,,,,,,,,,58
502000,,,,,,,,,,,,,,,,,,,,,,,,54
430000,,,,,,,,,,,,,,,,,,,,,,,,49
277000,,,,,,,,,,,,,,,,,,,,,,,,17
467000,,,,,,,,,,,,,,,,,,,,,,,,32
530000,,,,,,,,,,,,,,,,,,,,,,,,57
490000,,,,,,,,,,,,,,,,,,,,,,,,62
499950,,,,,,,,,,,,,,,,,,,,,,,,42
515000,,,,,,,,,,,,,,,,,,,,,,,,62
280000,,,,,,,,,,,,,,,,,,,,,,,,12
618000,,,,,,,,,,,,,,,,,,,,,,,,53
405000,,,,,,,,,,,,,,,,,,,,,,,,58
551000,,,,,,,,,,,,,,,,,,,,,,,,18
241450,,,,,,,,,,,,,,,,,,,,,,,,24
265000,,,,,,,,,,,,,,,,,,,,,,,,21
1650000,,,,,,,,,,,,,,,,,,,,,,,,44
720000,,,,,,,,,,,,,,,,,,,,,,,,62
450500,,,,,,,,,,,,,,,,,,,,,,,,22
325000,,,,,,,,,,,,,,,,,,,,,,,,18
475000,,,,,,,,,,,,,,,,,,,,,,,,38
713000,,,,,,,,,,,,,,,,,,,,,,,,45
320000,,,,,,,,,,,,,,,,,,,,,,,,21
365000,,,,,,,,,,,,,,,,,,,,,,,,62
380000,,,,,,,,,,,,,,,,,,,,,,,,39
569950,,,,,,,,,,,,,,,,,,,,,,,,38
630000,,,,,,,,,,,,,,,,,,,,,,,,47
349950,,,,,,,,,,,,,,,,,,,,,,,,23
344000,,,,,,,,,,,,,,,,,,,,,,,,21
473000,,,,,,,,,,,,,,,,,,,,,,,,57
365000,,,,,,,,,,,,,,,,,,,,,,,,27
510000,,,,,,,,,,,,,,,,,,,,,,,,53
530000,,,,,,,,,,,,,,,,,,,,,,,,41
107000,,,,,,,,,,,,,,,,,,,,,,,,16
331000,,,,,,,,,,,,,,,,,,,,,,,,22
629800,,,,,,,,,,,,,,,,,,,,,,,,46
579000,,,,,,,,,,,,,,,,,,,,,,,,56
970000,,,,,,,,,,,,,,,,,,,,,,,,54
460500,,,,,,,,,,,,,,,,,,,,,,,,35
370000,,,,,,,,,,,,,,,,,,,,,,,,24
567035,,,,,,,,,,,,,,,,,,,,,,,,36
220000,,,,,,,,,,,,,,,,,,,,,,,,11
795000,,,,,,,,,,,,,,,,,,,,,,,,37
400000,,,,,,,,,,,,,,,,,,,,,,,,57
470950,,,,,,,,,,,,,,,,,,,,,,,,30
220000,,,,,,,,,,,,,,,,,,,,,,,,22
691500,,,,,,,,,,,,,,,,,,,,,,,,47
526000,,,,,,,,,,,,,,,,,,,,,,,,43
300000,,,,,,,,,,,,,,,,,,,,,,,,8
605000,,,,,,,,,,,,,,,,,,,,,,,,54
700000,,,,,,,,,,,,,,,,,,,,,,,,21
1000000,,,,,,,,,,,,,,,,,,,,,,,,67
377500,,,,,,,,,,,,,,,,,,,,,,,,32
674000,,,,,,,,,,,,,,,,,,,,,,,,47
599000,,,,,,,,,,,,,,,,,,,,,,,,31
680000,,,,,,,,,,,,,,,,,,,,,,,,40
580000,,,,,,,,,,,,,,,,,,,,,,,,61
390000,,,,,,,,,,,,,,,,,,,,,,,,58
262500,,,,,,,,,,,,,,,,,,,,,,,,33
765000,,,,,,,,,,,,,,,,,,,,,,,,59
296000,,,,,,,,,,,,,,,,,,,,,,,,22
515000,,,,,,,,,,,,,,,,,,,,,,,,52
267950,,,,,,,,,,,,,,,,,,,,,,,,8
291700,,,,,,,,,,,,,,,,,,,,,,,,16
338000,,,,,,,,,,,,,,,,,,,,,,,,25
359950,,,,,,,,,,,,,,,,,,,,,,,,21
3168750,,,,,,,,,,,,,,,,,,,,,,,,69
360000,,,,,,,,,,,,,,,,,,,,,,,,16
675000,,,,,,,,,,,,,,,,,,,,,,,,54
530000,,,,,,,,,,,,,,,,,,,,,,,,43
219950,,,,,,,,,,,,,,,,,,,,,,,,1
598500,,,,,,,,,,,,,,,,,,,,,,,,43
470000,,,,,,,,,,,,,,,,,,,,,,,,35
290000,,,,,,,,,,,,,,,,,,,,,,,,12
861000,,,,,,,,,,,,,,,,,,,,,,,,63
369000,,,,,,,,,,,,,,,,,,,,,,,,16
925000,,,,,,,,,,,,,,,,,,,,,,,,49
295000,,,,,,,,,,,,,,,,,,,,,,,,18
385000,,,,,,,,,,,,,,,,,,,,,,,,16
390000,,,,,,,,,,,,,,,,,,,,,,,,21
629000,,,,,,,,,,,,,,,,,,,,,,,,35
1315000,,,,,,,,,,,,,,,,,,,,,,,,43
462500,,,,,,,,,,,,,,,,,,,,,,,,55
1530000,,,,,,,,,,,,,,,,,,,,,,,,68
535000,,,,,,,,,,,,,,,,,,,,,,,,49
448000,,,,,,,,,,,,,,,,,,,,,,,,40
525000,,,,,,,,,,,,,,,,,,,,,,,,47
1061600,,,,,,,,,,,,,,,,,,,,,,,,59
333000,,,,,,,,,,,,,,,,,,,,,,,,62
639900,,,,,,,,,,,,,,,,,,,,,,,,53
410000,,,,,,,,,,,,,,,,,,,,,,,,48
397500,,,,,,,,,,,,,,,,,,,,,,,,21
955000,,,,,,,,,,,,,,,,,,,,,,,,61
455000,,,,,,,,,,,,,,,,,,,,,,,,42
409500,,,,,,,,,,,,,,,,,,,,,,,,43
265000,,,,,,,,,,,,,,,,,,,,,,,,18
438600,,,,,,,,,,,,,,,,,,,,,,,,43
310000,,,,,,,,,,,,,,,,,,,,,,,,22
300000,,,,,,,,,,,,,,,,,,,,,,,,7
175000,,,,,,,,,,,,,,,,,,,,,,,,7
205500,,,,,,,,,,,,,,,,,,,,,,,,8
375000,,,,,,,,,,,,,,,,,,,,,,,,34
355000,,,,,,,,,,,,,,,,,,,,,,,,10
250000,,,,,,,,,,,,,,,,,,,,,,,,50
455000,,,,,,,,,,,,,,,,,,,,,,,,24
819000,,,,,,,,,,,,,,,,,,,,,,,,64
199500,,,,,,,,,,,,,,,,,,,,,,,,9
862000,,,,,,,,,,,,,,,,,,,,,,,,58
400000,,,,,,,,,,,,,,,,,,,,,,,,16
700000,,,,,,,,,,,,,,,,,,,,,,,,20
672000,,,,,,,,,,,,,,,,,,,,,,,,69
575000,,,,,,,,,,,,,,,,,,,,,,,,41
615000,,,,,,,,,,,,,,,,,,,,,,,,25
2150000,,,,,,,,,,,,,,,,,,,,,,,,37
397000,,,,,,,,,,,,,,,,,,,,,,,,13
